Штрих-код;Артикул;Наименование;Бренд;ЦенаОпт;ЦенаРозн;Страна-производитель;Размер;Качественный Состав;Цвет;Цвет для фильтра;Пол;Сезон;Сезон для фильтра;Стиль;Изображение;Бок;Спина;Доп картинка;alt картинки;Что с чем;Старая цена;Sale,%;Новинка;Архивный;Luxe;Опубликован;В наличии;Описание товара;Теги;Категории Sale;Категории акций и подарков;Категории А;Категории Б;Категории В;Категории Г;Категории Д
;JT6319/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;m;35%вискоза, 30%ПА, 25%Модал, 10%эластан;черный;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;JT6319/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;xl;35%вискоза, 30%ПА, 25%Модал, 10%эластан;черный;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;JT6319/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;m;35%вискоза, 30%ПА, 25%Модал, 10%эластан;синий;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;JT6319/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;xl;35%вискоза, 30%ПА, 25%Модал, 10%эластан;синий;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;JT6319/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;m;35%вискоза, 30%ПА, 25%Модал, 10%эластан;хаки;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;JT6319/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;xl;35%вискоза, 30%ПА, 25%Модал, 10%эластан;хаки;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;JT6319/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;m;35%вискоза, 30%ПА, 25%Модал, 10%эластан;серый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;JT6319/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;xl;35%вискоза, 30%ПА, 25%Модал, 10%эластан;серый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;JT6319/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;m;35%вискоза, 30%ПА, 25%Модал, 10%эластан;молочный;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;JT6319/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;xl;35%вискоза, 30%ПА, 25%Модал, 10%эластан;молочный;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;JT6319/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;m;35%вискоза, 30%ПА, 25%Модал, 10%эластан;бордовый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;JT6319/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;xl;35%вискоза, 30%ПА, 25%Модал, 10%эластан;бордовый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;MF3077/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;l;45%вискоза, 45%ПА, 100%эластан;черный;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;MF3077/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;xl;45%вискоза, 45%ПА, 100%эластан;черный;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;MF3077/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;l;45%вискоза, 45%ПА, 100%эластан;серый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;MF3077/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;xl;45%вискоза, 45%ПА, 100%эластан;серый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;MF3077/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;l;45%вискоза, 45%ПА, 100%эластан;хаки;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;MF3077/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;xl;45%вискоза, 45%ПА, 100%эластан;хаки;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
